Timestamp,GT_t,Prediction,Latency_ms,Contamination_Ratio,Deviation_Score,Model_Prob
503,1.0,1.0,0,1.0,1.827831065129095,0.5079226364692351
504,1.0,1.0,1,1.0,1.5450964178444881,0.5079226364692351
505,1.0,1.0,2,1.0,1.8219380346700724,0.5079226364692351
506,1.0,1.0,3,1.0,1.849126676700713,0.5079226364692351
507,1.0,1.0,4,1.0,1.8278615253968575,0.5079226364692351
508,1.0,1.0,5,1.0,2.844982336989723,0.5079226364692351
509,1.0,1.0,6,1.0,1.4854666259067266,0.5079226364692351
510,1.0,1.0,7,1.0,1.8923517317186311,0.5079226364692351
511,1.0,1.0,8,1.0,2.221074362461245,0.5079226364692351
512,1.0,1.0,9,1.0,1.722244261034011,0.5079226364692351
513,1.0,1.0,10,1.0,2.2145351587545057,0.5079226364692351
514,1.0,1.0,11,1.0,1.7606899445527582,0.5079226364692351
515,1.0,1.0,12,1.0,2.0077159297951703,0.5079226364692351
516,1.0,1.0,13,1.0,1.3889470016204695,0.5079226364692351
517,1.0,1.0,14,1.0,1.596432804573986,0.5079226364692351
518,1.0,1.0,15,1.0,1.8195956068155683,0.5079226364692351
519,1.0,1.0,16,1.0,2.6306709579093535,0.5079226364692351
520,1.0,1.0,17,1.0,1.5904740224316976,0.5079226364692351
521,1.0,1.0,18,1.0,1.441476856901497,0.5079226364692351
522,1.0,1.0,19,1.0,2.0802975527901753,0.5079226364692351
523,1.0,1.0,20,1.0,1.4082829074894743,0.5079226364692351
524,1.0,1.0,21,1.0,1.4946067787975637,0.5079226364692351
525,1.0,1.0,22,1.0,2.1918921322924816,0.5079226364692351
526,1.0,1.0,23,1.0,2.182449530242951,0.5079226364692351
527,1.0,1.0,24,1.0,2.648521191952446,0.5079226364692351
528,1.0,1.0,25,1.0,1.454914903260291,0.5079226364692351
529,1.0,1.0,26,1.0,1.1998681166689364,0.5079226364692351
530,1.0,1.0,27,1.0,1.4010383694900057,0.5079226364692351
531,1.0,1.0,28,1.0,1.9108444878156876,0.5079226364692351
532,1.0,1.0,29,1.0,1.7326125795150598,0.5079226364692351
533,1.0,1.0,30,1.0,1.764242250128156,0.5079226364692351
534,1.0,1.0,31,1.0,1.454914903260291,0.5079226364692351
