Timestamp,GT_t,Prediction,Latency_ms,Contamination_Ratio,Deviation_Score,Model_Prob
501,1.0,0.0,0,1.0,3.240823865885135,0.470980064854331
502,1.0,1.0,1,1.0,3.237857881685677,0.5252312176984256
503,1.0,1.0,2,1.0,3.2405280809204267,0.5232313521448203
504,1.0,1.0,3,1.0,3.2169613978999383,0.5182120413634057
505,1.0,0.0,4,1.0,1.9596008973277315,0.4709277970703666
506,1.0,1.0,5,1.0,1.9581340186249692,0.5269819956020824
507,1.0,1.0,6,1.0,1.952417171087237,0.5229630938247354
508,1.0,1.0,7,1.0,1.917638754517494,0.5182878427741344
509,1.0,0.0,8,1.0,1.9217568671952072,0.470979529607979
510,1.0,1.0,9,1.0,1.9243348289240143,0.5256821770195093
511,1.0,1.0,10,1.0,1.9333337847197876,0.5227845687344818
512,1.0,1.0,11,1.0,1.9310555606338153,0.5190553819593161
513,1.0,0.0,12,1.0,1.7228619164014072,0.47093549924641287
514,1.0,1.0,13,1.0,1.7228619164014078,0.5254641949903623
515,1.0,1.0,14,1.0,1.8462799489231274,0.521683237016295
516,1.0,1.0,15,1.0,1.8702401779060684,0.5175902453548384
517,1.0,0.0,16,1.0,1.8695738329995337,0.47102260518219213
518,1.0,1.0,17,1.0,1.871991741246059,0.5257966160844499
519,1.0,1.0,18,1.0,2.546373124597137,0.5219179017682375
520,1.0,1.0,19,1.0,2.577403038193141,0.5174933269363232
521,1.0,0.0,20,1.0,2.575550177268449,0.471056532682474
522,1.0,1.0,21,1.0,2.5780982569291115,0.5255744327103206
523,1.0,1.0,22,1.0,2.55782399163598,0.5244491210701383
524,1.0,1.0,23,1.0,1.7739868112939714,0.5200122453736977
525,1.0,0.0,24,1.0,1.7364584690301341,0.4709160710321343
526,1.0,1.0,25,1.0,2.6958291347555194,0.5252085344082738
527,1.0,1.0,26,1.0,2.698980567172574,0.5267067701580673
528,1.0,1.0,27,1.0,2.6928166516175183,0.5191415914079239
529,1.0,0.0,28,1.0,2.694994497786714,0.47090833475941385
530,1.0,1.0,29,1.0,2.7024725448915548,0.5255532141628215
531,1.0,1.0,30,1.0,1.7228619164014078,0.5245960002442567
532,1.0,1.0,31,1.0,1.7138653428936916,0.518421186100038
533,1.0,0.0,32,1.0,1.8096262633697437,0.47093959763620474
534,1.0,1.0,33,1.0,1.8113812859945828,0.5270568473281068
535,1.0,1.0,34,1.0,1.8059061977281854,0.5193804145869145
536,1.0,0.0,35,1.0,1.992079795713873,0.4664757577534958
537,1.0,1.0,36,1.0,1.9941223144724036,0.5266641757842421
538,1.0,1.0,37,1.0,1.988505408823047,0.5251778135380767
539,1.0,1.0,38,1.0,1.9889783190992811,0.5184298968739783
540,1.0,0.0,39,1.0,1.9956631728622607,0.47096103825284996
541,1.0,1.0,40,1.0,1.7364584690301341,0.5268246864140971
542,1.0,1.0,41,1.0,1.736957679476197,0.5238055368683818
543,1.0,1.0,42,1.0,1.7321867762228496,0.519025552338798
544,1.0,0.0,43,1.0,1.7364584690301341,0.47095688908778716
545,1.0,1.0,44,1.0,3.080464825626793,0.5258097025539574
546,1.0,1.0,45,1.0,3.1168881068657517,0.5213896569710625
