file_name,window_idx,f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,label
dados_spectre.txt,1267,0.000627,0.004565,0.187975,0.299627,0.400000,0.000653,0.004510,0.187718,0.299630,0.200000,0.000678,0.004505,0.187711,0.299628,0.200000,0.000647,0.004516,0.188357,0.299626,0.200000,0.000656,0.004545,0.187977,0.299628,0.400000,1.0
dados_spectre.txt,1268,0.000653,0.004510,0.187718,0.299630,0.200000,0.000678,0.004505,0.187711,0.299628,0.200000,0.000647,0.004516,0.188357,0.299626,0.200000,0.000656,0.004545,0.187977,0.299628,0.400000,0.000792,0.004498,0.186428,0.299628,0.200000,1.0
dados_spectre.txt,1269,0.000678,0.004505,0.187711,0.299628,0.200000,0.000647,0.004516,0.188357,0.299626,0.200000,0.000656,0.004545,0.187977,0.299628,0.400000,0.000792,0.004498,0.186428,0.299628,0.200000,0.000743,0.004505,0.186767,0.299628,0.200000,1.0
dados_spectre.txt,1270,0.000647,0.004516,0.188357,0.299626,0.200000,0.000656,0.004545,0.187977,0.299628,0.400000,0.000792,0.004498,0.186428,0.299628,0.200000,0.000743,0.004505,0.186767,0.299628,0.200000,0.000667,0.004515,0.188293,0.299626,0.200000,1.0
dados_spectre.txt,1271,0.000656,0.004545,0.187977,0.299628,0.400000,0.000792,0.004498,0.186428,0.299628,0.200000,0.000743,0.004505,0.186767,0.299628,0.200000,0.000667,0.004515,0.188293,0.299626,0.200000,0.000622,0.004563,0.188235,0.299628,0.400000,1.0
dados_spectre.txt,1272,0.000792,0.004498,0.186428,0.299628,0.200000,0.000743,0.004505,0.186767,0.299628,0.200000,0.000667,0.004515,0.188293,0.299626,0.200000,0.000622,0.004563,0.188235,0.299628,0.400000,0.000669,0.004496,0.188127,0.299630,0.200000,1.0
dados_spectre.txt,1273,0.000743,0.004505,0.186767,0.299628,0.200000,0.000667,0.004515,0.188293,0.299626,0.200000,0.000622,0.004563,0.188235,0.299628,0.400000,0.000669,0.004496,0.188127,0.299630,0.200000,0.000680,0.004506,0.187839,0.299627,0.200000,1.0
dados_spectre.txt,1274,0.000667,0.004515,0.188293,0.299626,0.200000,0.000622,0.004563,0.188235,0.299628,0.400000,0.000669,0.004496,0.188127,0.299630,0.200000,0.000680,0.004506,0.187839,0.299627,0.200000,0.000630,0.004518,0.188495,0.299629,0.200000,1.0
dados_spectre.txt,1275,0.000622,0.004563,0.188235,0.299628,0.400000,0.000669,0.004496,0.188127,0.299630,0.200000,0.000680,0.004506,0.187839,0.299627,0.200000,0.000630,0.004518,0.188495,0.299629,0.200000,0.000635,0.004563,0.187982,0.299629,0.400000,1.0
dados_spectre.txt,1276,0.000669,0.004496,0.188127,0.299630,0.200000,0.000680,0.004506,0.187839,0.299627,0.200000,0.000630,0.004518,0.188495,0.299629,0.200000,0.000635,0.004563,0.187982,0.299629,0.400000,0.000662,0.004517,0.188298,0.299629,0.200000,1.0
