CORE_ID,TIMESTAMP,CPU_CYCLES,INSTRUCTIONS,CACHE_MISSES,BRANCH_MISSES,LABEL
0,0,119852754,30415578,578984,6828,1.0
0,0,119853558,30366281,579132,6834,1.0
0,0,119852812,30411629,579169,6831,1.0
0,0,119853216,30174773,584967,6851,1.0
0,0,119852763,30372767,579201,6848,1.0
0,0,119853571,30366223,579134,6830,1.0
0,0,119852740,30376978,579103,6844,1.0
0,0,119853299,30178093,585045,6842,1.0
0,0,119853474,30396624,579070,6825,1.0
0,0,119852802,30367802,579150,6847,1.0
0,0,119852881,30378772,579305,6833,1.0
0,0,119853133,30177903,585051,6840,1.0
0,0,119853499,30448754,578950,6832,1.0
0,0,119852905,30376437,579307,6844,1.0
0,0,119853614,30469806,578922,6824,1.0
0,0,119853526,30183386,585196,6835,1.0
0,0,119853353,30427310,578934,6832,1.0
0,0,119852784,30369188,579211,6843,1.0
0,0,119853263,30399305,579138,6833,1.0
0,0,119854079,30175033,585015,6845,1.0
0,0,119852827,30403602,579115,6833,1.0
0,0,119853592,30370083,579141,6844,1.0
0,0,119852902,30414447,579081,6844,1.0
0,0,119853962,30176892,585040,6841,1.0
0,0,119852804,30383633,579223,6840,1.0
0,0,119853439,30366302,579143,6832,1.0
0,0,119852845,30414252,578972,6851,1.0
0,0,119853366,30173535,584960,6850,1.0
0,0,119852894,30403520,578947,6835,1.0
0,0,119853620,30364831,579099,6836,1.0
0,0,119852755,30374289,579291,6840,1.0
0,0,119853386,30174539,584963,6846,1.0
0,0,119853638,30448714,579067,6846,1.0
0,0,119852811,30367734,579109,6842,1.0
0,0,119853571,30403252,579094,6833,1.0
0,0,119853285,30181512,585072,6845,1.0
0,0,119853558,30409360,579085,6830,1.0
0,0,119852907,30368382,579119,6844,1.0
0,0,119853525,30382734,579249,6836,1.0
0,0,119854064,30177574,585041,6858,1.0
0,0,119852958,30418857,579045,6839,1.0
0,0,119852846,30368547,579191,6840,1.0
0,0,119853610,30397791,579034,6845,1.0
0,0,119853956,30179339,585086,6848,1.0
0,0,119852927,30390002,579024,6845,1.0
0,0,119853240,30368498,579193,6840,1.0
0,0,119852713,30465861,578884,6833,1.0
0,0,119853352,30174653,584991,6847,1.0
0,0,119852734,30404482,579076,6836,1.0
0,0,119853473,30373967,579241,6837,1.0
0,0,119852726,30412039,579027,6842,1.0
0,0,119853196,30172290,584923,6838,1.0
0,0,119853518,30374162,579139,6841,1.0
0,0,119852671,30364891,579097,6836,1.0
0,0,119852922,30385649,579142,6834,1.0
0,0,119853281,30179128,585083,6839,1.0
0,0,119853719,30400444,579027,6848,1.0
0,0,119852873,30367375,579162,6828,1.0
0,0,119853282,30400449,579175,6843,1.0
0,0,119854013,30177584,585040,6853,1.0
0,0,119852813,30402815,578998,6845,1.0
0,0,119852766,30371855,579228,6832,1.0
0,0,119853574,30395752,579108,6833,1.0
0,0,119854072,30182333,585104,6844,1.0
0,0,119852817,30400048,579053,6844,1.0
0,0,119853490,30368546,579128,6833,1.0
0,0,119852835,30466367,578860,6832,1.0
0,0,119853956,30176067,584967,6853,1.0
0,0,119852762,30381839,579068,6842,1.0
0,0,119853373,30371528,579270,6838,1.0
0,0,119852969,30432764,579048,6829,1.0
0,0,119853240,30283921,581629,6829,1.0
0,0,119853597,30422597,579089,6842,1.0
0,0,119852887,30365698,579117,6841,1.0
0,0,119853957,30182071,585108,6857,1.0
0,0,119852898,30364893,579108,6839,1.0
0,0,119853507,30389629,579112,6836,1.0
0,0,119852882,30367303,579108,6842,1.0
0,0,119853425,30174876,585038,6846,1.0
