TIMESTAMP,CPU_CYCLES,INSTRUCTIONS,CACHE_MISSES,BRANCH_MISSES,LABEL
01:52:16:226,120000486,265141765,401,145,0
01:52:16:226,120000486,265141765,401,145,0
01:52:16:426,120000456,228909066,248,213533,0
01:52:16:626,120000448,173830223,0,537882,0
01:52:16:826,120000452,173880495,1,537246,0
01:52:17:026,120000440,173847901,0,537280,0
01:52:17:226,120000445,173864009,1,536725,0
01:52:17:426,120000449,173780288,0,538692,0
01:52:17:626,120000450,173856438,0,535970,0
01:52:17:826,120000448,173874848,0,537276,0
01:52:18:026,120000433,173892133,0,536671,0
01:52:18:226,120000440,173811442,1,538660,0
01:52:18:426,120000462,173877092,0,537347,0
01:52:18:626,120000451,173773347,0,538442,0
01:52:18:826,120000449,173740392,0,540806,0
01:52:19:026,120000444,173683577,0,541523,0
01:52:19:226,120000458,173811961,1,539438,0
01:52:19:426,120000453,173720903,0,539994,0
01:52:19:626,120000438,173725197,1,540556,0
01:52:19:826,120000429,173773625,0,539287,0
01:52:20:026,120000451,173846502,0,538553,0
01:52:20:226,120000441,173826048,0,538219,0
01:52:20:426,120000461,173882216,0,537304,0
01:52:20:626,120000449,173954888,1,535868,0
01:52:20:826,120000453,173784978,0,538132,0
01:52:21:026,120000455,173799699,1,538464,0
01:52:21:226,120000440,173813139,0,537194,0
01:52:21:626,120000441,173931989,1,535131,0
01:52:21:826,120000437,173872318,0,535385,0
01:52:22:026,120000437,173917495,2,535229,0
01:52:22:226,120000450,173875841,0,535848,0
01:52:22:426,120000441,173830103,0,536153,0
01:52:22:626,120000450,173862806,0,536409,0
01:52:22:826,120000438,173724275,0,539081,0
01:52:23:026,120000435,173752963,1,539068,0
01:52:23:226,120000434,173757108,0,538567,0
01:52:23:426,120000437,173790653,1,538656,0
01:52:23:626,120000445,173839275,0,536850,0
01:52:23:826,120000455,173805881,0,537967,0
01:52:24:026,120000440,173776332,0,538670,0
01:52:24:226,120000454,173738038,0,539337,0
01:52:24:426,120000442,173668213,0,540456,0
01:52:24:626,120000444,173755298,0,539151,0
