TIMESTAMP,CPU_CYCLES,INSTRUCTIONS,CACHE_MISSES,BRANCH_MISSES,LABEL
00:47:58:801,228529,194138,0,194,0
00:47:59:001,120001524,46936663,2267264,110,0
00:47:59:201,120001020,47273173,2278311,112,0
00:47:59:401,120001349,47196241,2270153,115,0
00:47:59:601,120001249,47248243,2276409,109,0
00:47:59:801,120001098,47215609,2271640,109,0
00:48:00:001,120001389,47124493,2262085,106,0
00:48:00:201,120001250,47243966,2275397,107,0
00:48:00:401,120001400,47226600,2273758,109,0
00:48:00:601,120000705,47172283,2267156,103,0
00:48:00:801,120000854,47090675,2273704,109,0
00:48:01:001,120000859,47054981,2273329,102,0
00:48:01:201,120000634,47048854,2272968,102,0
00:48:01:401,120001127,47084289,2267474,103,0
00:48:01:601,120001513,47247046,2275075,102,0
00:48:01:801,120001448,47189248,2269001,100,0
00:48:02:001,120001381,47192948,2269047,98,0
00:48:02:201,120001492,47158036,2265668,105,0
00:48:02:401,120000806,47069098,2265857,119,0
00:48:02:601,120000868,47002643,2273114,104,0
00:48:02:801,120000936,47150115,2274318,114,0
00:48:03:001,120001408,46943246,2261596,109,0
00:48:03:201,120001147,47111479,2260570,105,0
00:48:03:401,120001289,47198549,2270079,102,0
00:48:03:601,120000513,47175011,2268149,107,0
00:48:03:801,120000618,46946954,2272233,102,0
00:48:04:001,120000762,47390951,2278344,110,0
00:48:04:201,120000507,47194592,2275332,106,0
00:48:04:401,120000574,47095452,2274475,106,0
00:48:04:601,120000919,47179779,2275076,107,0
00:48:04:801,120000641,47200437,2275552,104,0
00:48:05:001,120000821,47288945,2276894,112,0
00:48:05:201,120000846,47279043,2276612,106,0
00:48:05:401,120000758,47257475,2276422,100,0
00:48:05:601,120000538,47275877,2276634,106,0
00:48:05:801,120000688,47401709,2278162,110,0
00:48:06:001,120000954,47334087,2276882,98,0
00:48:06:201,120000711,47306787,2277058,111,0
00:48:06:401,120000994,47454045,2285044,112,0
00:48:06:601,120001400,47355361,2287987,105,0
00:48:06:801,120001050,47385331,2290890,116,0
00:48:07:001,120000614,47544497,2286236,109,0
00:48:07:201,120000779,47240939,2275970,110,0
00:48:07:401,120000743,47318412,2276959,101,0
00:48:07:601,120000687,47572892,2280428,108,0
00:48:07:801,120001829,47455468,2294116,104,0
00:48:08:001,120001080,47291155,2280415,116,0
00:48:08:201,120001273,47361778,2288824,108,0
00:48:08:401,120001307,47245795,2275624,102,0
00:48:08:601,120000620,47417266,2286508,107,0
00:48:08:801,120000798,47417457,2278896,106,0
00:48:09:001,120000628,47371020,2277765,108,0
00:48:09:201,120000509,47425292,2278924,99,0
00:48:09:401,120001263,47470564,2290614,106,0
00:48:09:601,120001381,47244355,2275944,101,0
00:48:09:801,120001296,47295018,2280771,103,0
00:48:10:001,120001047,47453814,2298794,104,0
00:48:10:201,120000708,47421712,2280130,110,0
00:48:10:401,120000598,47482093,2279030,106,0
00:48:10:601,120000775,47432474,2278164,115,0
00:48:10:801,120000664,47143515,2273991,108,0
00:48:11:001,120000868,47459812,2279512,114,0
00:48:11:201,120001289,47424364,2295221,110,0
00:48:11:401,120001344,47342914,2285946,104,0
00:48:11:601,120000480,47547717,2289887,115,0
00:48:11:801,120000595,47314652,2277179,105,0
00:48:12:001,120000510,47618220,2281102,107,0
00:48:12:201,120001023,47468262,2297006,105,0
00:48:12:401,120000940,47267883,2278594,105,0
