TIMESTAMP,CPU_CYCLES,INSTRUCTIONS,CACHE_MISSES,BRANCH_MISSES,LABEL
14:19:53:680,120000443,265130495,401,347,0
14:19:53:680,120000443,265130495,401,347,0
14:19:53:880,120000519,229122250,2178,76795,0
14:19:54:080,120000446,212312131,2964,114723,0
14:19:54:280,120000451,212410665,2959,114871,0
14:19:54:480,120000497,212172980,2976,118735,0
14:19:54:680,120000509,212332188,2966,116587,0
14:19:54:880,120000454,212304463,2965,115389,0
14:19:55:080,120000514,212225113,2966,118405,0
14:19:55:280,120000512,212098251,2971,121880,0
14:19:55:480,120000523,212277450,2963,116879,0
14:19:55:680,120000457,212139207,2966,121792,0
14:19:55:880,120000514,212390410,2966,115874,0
14:19:56:080,120000507,212235682,2980,117798,0
14:19:56:280,120000458,212283716,2962,117971,0
14:19:56:480,120000509,212423678,2972,113251,0
14:19:56:680,120000450,212105805,2964,122542,0
14:19:56:880,120000511,212236631,2967,118547,0
14:19:57:080,120000452,212283201,2966,116910,0
14:19:57:280,120000514,212338292,2973,114520,0
14:19:57:480,120000453,212319117,2972,117277,0
14:19:57:680,120000512,212403437,2967,115090,0
14:19:57:880,120000439,212485012,2967,110416,0
14:19:58:080,120000504,212370804,2968,115412,0
14:19:58:280,120000515,212380810,2979,115100,0
14:19:58:480,120000455,212333417,2976,116762,0
14:19:58:680,120000509,212391409,2963,116221,0
14:19:58:880,120000458,212189369,2962,118742,0
14:19:59:080,120000509,212207595,2968,120621,0
14:19:59:280,120000512,212359850,2974,115500,0
14:19:59:480,120000506,212284806,2965,117194,0
14:19:59:680,120000444,212282691,2961,117788,0
14:19:59:880,120000510,212359616,2963,115519,0
14:20:00:080,120000445,212431577,2970,114284,0
14:20:00:280,120000508,212316139,2972,117434,0
14:20:00:480,120000512,212287328,2981,118253,0
14:20:00:680,120000447,212303995,2967,117918,0
14:20:00:880,120000508,212291397,2970,116001,0
14:20:01:080,120000439,212336843,2978,115315,0
14:20:01:280,120000512,212204860,2972,119195,0
14:20:01:480,120000442,212214978,2968,119380,0
14:20:01:680,120000514,212458001,2965,114074,0
14:20:01:880,120000436,212322366,2962,115894,0
14:20:02:080,120000510,212019830,2972,124309,0
14:20:02:280,120000500,212279585,2977,117075,0
14:20:02:480,120000503,212363088,2967,115584,0
14:20:02:680,120000449,212313551,2969,116079,0
14:20:02:880,120000455,212354418,2977,117273,0
