TIMESTAMP,CPU_CYCLES,INSTRUCTIONS,CACHE_MISSES,BRANCH_MISSES,LABEL
12:17:45:233,229155,194434,0,196,0
12:17:45:433,120000635,46994144,2272417,102,0
12:17:45:633,120000820,47190740,2275335,103,0
12:17:45:833,120000469,47368024,2277946,105,0
12:17:46:033,120000757,47184855,2275464,103,0
12:17:46:233,120000767,47231907,2276188,114,0
12:17:46:433,120001158,47091014,2264481,112,0
12:17:46:633,120000622,47351653,2287902,104,0
12:17:46:833,120001393,47139748,2263837,115,0
12:17:47:033,120001214,47150638,2264880,108,0
12:17:47:233,120000816,47093981,2258405,102,0
12:17:47:433,120000892,47178739,2275076,111,0
12:17:47:633,120000721,47102492,2273754,107,0
12:17:47:833,120000467,47357528,2277549,107,0
12:17:48:033,120000724,47347056,2277798,108,0
12:17:48:233,120000634,46824989,2270613,103,0
12:17:48:433,120000638,47303416,2277409,112,0
12:17:48:633,120001185,46906273,2262588,97,0
12:17:48:833,120001123,47153196,2265104,109,0
12:17:49:033,120001386,47169691,2267087,115,0
12:17:49:233,120000883,47154064,2265009,97,0
12:17:49:433,120000694,46944103,2271742,110,0
12:17:49:633,120000908,46991853,2272638,111,0
12:17:49:833,120001141,47069251,2264494,115,0
12:17:50:033,120001108,47243194,2275515,100,0
12:17:50:233,120001119,47252275,2276336,109,0
12:17:50:433,120001290,47198815,2270724,112,0
12:17:50:633,120001267,47218867,2272628,111,0
12:17:50:833,120001160,47188159,2269096,108,0
12:17:51:033,120001460,47339575,2286147,105,0
12:17:51:233,120001068,47329225,2284591,103,0
12:17:51:433,120001223,47333248,2284845,100,0
12:17:51:633,120000800,47369793,2279269,102,0
12:17:51:833,120000895,47343349,2277167,97,0
12:17:52:033,120000804,47230547,2275711,108,0
12:17:52:233,120000838,47206569,2276441,110,0
12:17:52:433,120000696,47508555,2279514,114,0
12:17:52:633,120000568,47137708,2274942,106,0
12:17:52:833,120000945,47476003,2279448,105,0
12:17:53:033,120001194,47459086,2284235,108,0
12:17:53:233,120001017,47297455,2281063,106,0
12:17:53:433,120001133,47262796,2277338,106,0
12:17:53:633,120001149,47276708,2278258,104,0
12:17:53:833,120001196,47309562,2282948,100,0
12:17:54:033,120001408,47210371,2271715,105,0
12:17:54:233,120001132,47288237,2280274,108,0
12:17:54:433,120001197,47378522,2290336,119,0
12:17:54:633,120000803,47390694,2283525,112,0
12:17:54:833,120001123,47135006,2270995,114,0
12:17:55:033,120000683,47328938,2280637,105,0
12:17:55:233,120000686,47318650,2276991,117,0
12:17:55:433,120000837,47595335,2280855,107,0
12:17:55:633,120000838,47390625,2278708,110,0
12:17:55:833,120000523,47030460,2273654,110,0
12:17:56:033,120000532,47352076,2277918,110,0
12:17:56:233,120000808,47309957,2277625,118,0
12:17:56:433,120001430,47501801,2291415,109,0
12:17:56:633,120001412,47296015,2280723,109,0
12:17:56:833,120001044,47219495,2272785,107,0
12:17:57:033,120001154,47225970,2273586,106,0
12:17:57:233,120001450,47290192,2280503,106,0
12:17:57:433,120000963,47196070,2269801,104,0
12:17:57:633,120001040,47207779,2270295,105,0
12:17:57:833,120001311,47273956,2278641,108,0
