CPU_CYCLES, INSTRUCTIONS, CACHE_MISSES, BRANCH_MISSES, LABEL
00:02:10.739 119847500 30309542 575802 6827 1.0
00:02:10.939 119846608 30310325 575848 6824 1.0
00:02:11.339 119847984 30115732 581614 6831 1.0
00:02:11.539 119846684 31682766 572236 6780 1.0
00:02:11.739 119847462 30310255 575841 6830 1.0
00:02:11.939 119846618 30310012 575843 6835 1.0
00:02:12.339 119847171 30124460 581758 6830 1.0
00:02:12.539 119847493 31742409 572231 6796 1.0
00:02:12.739 119846612 30309944 575846 6831 1.0
00:02:12.939 119846751 30307014 575715 6821 1.0
00:02:13.339 119847137 30114904 581567 6831 1.0
00:02:13.539 119847531 31674550 572346 6789 1.0
00:02:13.739 119846703 30312153 575849 6824 1.0
00:02:13.939 119847425 30312282 575850 6830 1.0
00:02:14.339 119847802 30117568 581648 6835 1.0
00:02:14.539 119846608 31745915 572341 6789 1.0
00:02:14.739 119846794 30302616 575614 6829 1.0
00:02:14.939 119847440 30299132 575599 6826 1.0
00:02:15.339 119847872 30111915 581495 6842 1.0
00:02:15.539 119846699 31712192 572236 6790 1.0
00:02:15.739 119847513 30303519 575717 6815 1.0
00:02:15.939 119846719 30312602 575862 6839 1.0
00:02:16.339 119847074 30114054 581513 6826 1.0
00:02:16.539 119847542 31724446 572372 6788 1.0
00:02:16.739 119846702 30307658 575731 6830 1.0
00:02:16.939 119846701 30307509 575820 6824 1.0
00:02:17.339 119847097 30127333 581840 6849 1.0
00:02:17.539 119847511 31715722 572372 6796 1.0
00:02:17.739 119846726 30306558 575700 6809 1.0
00:02:17.939 119847542 30305478 575739 6823 1.0
00:02:18.339 119847775 30116473 581585 6840 1.0
00:02:18.539 119846801 31689572 572242 6776 1.0
00:02:18.739 119846810 30311924 575840 6823 1.0
00:02:18.939 119847563 30304329 575739 6828 1.0
00:02:19.339 119847896 30112417 581541 6812 1.0
00:02:19.539 119846760 31676046 572341 6802 1.0
00:02:19.739 119847474 30308309 575748 6826 1.0
00:02:19.939 119846622 30300301 575630 6819 1.0
00:02:20.339 119847079 30113164 581500 6837 1.0
00:02:20.539 119846784 31750619 572250 6810 1.0
00:02:20.739 119847502 30305019 575756 6823 1.0
00:02:20.939 119846854 30314206 575902 6825 1.0
00:02:21.339 119847027 30115943 581635 6836 1.0
00:02:21.539 119847501 31754991 572402 6800 1.0
00:02:21.739 119846683 30308816 575759 6826 1.0
00:02:21.939 119847516 30302718 575694 6826 1.0
00:02:22.339 119847908 30117904 581558 6832 1.0
00:02:22.539 119846812 31701714 572239 6791 1.0
00:02:22.739 119846746 30308032 575835 6816 1.0
00:02:22.939 119847404 30310461 575804 6827 1.0
00:02:23.339 119847963 30203443 578491 6818 1.0
00:02:23.539 119846737 31733999 572157 6790 1.0
00:02:23.739 119847510 30312252 575841 6824 1.0
00:02:24.139 119847893 30113717 581574 6838 1.0
00:02:24.339 119846625 30312930 575868 6817 1.0
00:02:24.539 119846719 31723945 572198 6794 1.0
00:02:24.739 119847635 30306333 575694 6828 1.0
00:02:25.139 119847932 30118443 581620 6827 1.0
00:02:25.339 119846595 30298926 575588 6821 1.0
00:02:25.539 119847522 31758945 572131 6783 1.0
00:02:25.739 119846678 30313898 575894 6811 1.0
00:02:26.139 119847122 30112940 581554 6838 1.0
00:02:26.339 119846724 30305656 575702 6829 1.0
00:02:26.539 119847607 31750033 572295 6792 1.0
00:02:26.739 119846717 30307103 575782 6818 1.0
00:02:27.139 119847125 30122381 581709 6832 1.0
00:02:27.339 119847482 30300731 575641 6830 1.0
00:02:27.539 119846831 31766111 572145 6788 1.0
00:02:27.739 119847513 30308216 575802 6840 1.0
00:02:28.139 119847139 30111727 581522 6840 1.0
00:02:28.339 119847514 30300312 575620 6835 1.0
00:02:28.539 119846687 31726137 572262 6798 1.0
00:02:28.739 119847557 30301691 575665 6825 1.0
00:02:29.139 119847925 30113731 581539 6829 1.0
00:02:29.339 119846682 30319214 575976 6837 1.0
00:02:29.539 119847524 31718204 572263 6795 1.0
00:02:29.739 119846726 30306214 575692 6835 1.0
00:02:30.139 119847111 30107794 581420 6849 1.0
00:02:30.339 119846685 30309685 575800 6828 1.0
00:02:30.539 119847612 31706614 572425 6791 1.0
00:02:30.739 119846738 30314289 575904 6829 1.0
00:02:31.139 119847064 30113990 581583 6842 1.0
00:02:31.339 119847440 30305322 575677 6817 1.0
00:02:31.539 119846752 31717135 572236 6788 1.0
00:02:31.739 119847424 30303993 575719 6816 1.0
00:02:32.139 119847101 30124783 581773 6826 1.0
00:02:32.339 119847427 30305826 575694 6835 1.0
00:02:32.539 119846656 31761723 572227 6782 1.0
00:02:32.739 119847377 30312697 575850 6833 1.0
00:02:33.139 119847867 30112330 581539 6838 1.0
00:02:33.339 119846646 30307624 575728 6836 1.0
00:02:33.539 119847523 31691407 572503 6790 1.0
00:02:33.739 119846725 30308472 575828 6827 1.0
00:02:34.139 119847915 30123118 581753 6833 1.0
00:02:34.339 119846644 30303250 575650 6834 1.0
00:02:34.539 119847582 31725703 572227 6784 1.0
00:02:34.739 119846604 30306954 575788 6830 1.0
00:02:35.139 119847110 30111291 581509 6835 1.0
00:02:35.339 119847504 30307188 575718 6836 1.0
00:02:35.539 119846629 31664805 572366 6792 1.0
00:02:35.739 119847392 30307299 575775 6836 1.0
00:02:36.139 119847146 30111205 581510 6835 1.0
00:02:36.339 119847553 30312297 575851 6835 1.0
00:02:36.539 119846901 31703423 572427 6772 1.0
00:02:36.739 119847489 30307495 575726 6832 1.0
00:02:37.139 119847782 30119652 581638 6830 1.0
00:02:37.339 119846707 30308162 575759 6829 1.0
00:02:37.539 119847522 31679238 572344 6799 1.0
00:02:37.739 119846744 30311796 575838 6835 1.0
00:02:38.139 119847930 30115071 581519 6833 1.0
00:02:38.339 119846714 30305333 575762 6826 1.0
00:02:38.539 119847381 31706200 572377 6807 1.0
00:02:38.739 119846710 30303328 575711 6846 1.0
00:02:39.139 119847154 30121385 581682 6823 1.0
00:02:39.339 119847527 30303175 575706 6825 1.0
00:02:39.539 119846640 31758138 572094 6794 1.0
00:02:39.739 119846678 30309149 575793 6834 1.0
00:02:40.139 119847156 30113194 581561 6823 1.0
00:02:40.339 119847538 30303518 575621 6829 1.0
00:02:40.539 119846782 31770238 572230 6795 1.0
00:02:40.739 119847439 30304261 575699 6833 1.0
00:02:41.139 119847838 30114215 581587 6835 1.0
00:02:41.339 119846707 30312566 575859 6836 1.0
00:02:41.539 119847591 31762016 572067 6807 1.0
00:02:41.739 119846771 30303935 575726 6833 1.0
00:02:42.139 119847758 30114255 581512 6840 1.0
00:02:42.339 119846719 30307299 575810 6825 1.0
00:02:42.539 119847526 31665670 572267 6780 1.0
00:02:42.739 119846633 30313717 575873 6830 1.0
00:02:43.139 119847051 30111902 581503 6832 1.0
00:02:43.339 119847448 30311196 575841 6835 1.0
00:02:43.539 119846827 31728742 572203 6788 1.0
00:02:43.739 119846743 30307320 575720 6843 1.0
00:02:44.139 119846948 30116478 581647 6850 1.0
00:02:44.339 119847404 30304200 575689 6830 1.0
00:02:44.539 119846827 31760760 572099 6787 1.0
00:02:44.739 119847430 30313563 575887 6824 1.0
00:02:45.139 119847892 30175412 579733 6822 1.0
00:02:45.339 119846688 30302617 575691 6824 1.0
00:02:45.539 119846761 31723632 572444 6778 1.0
00:02:45.739 119847464 30308718 575758 6842 1.0
00:02:46.139 119847874 30298973 576233 6805 1.0
00:02:46.339 119846796 30298959 575596 6825 1.0
00:02:46.539 119847474 31745576 572109 6799 1.0
00:02:46.939 119847896 30118619 581612 6838 1.0
00:02:47.139 119846527 30305419 575759 6829 1.0
00:02:47.339 119847397 30303483 575630 6822 1.0
00:02:47.539 119846850 31757972 572247 6794 1.0
00:02:47.939 119848018 30112336 581507 6833 1.0
00:02:48.139 119846674 30306976 575807 6822 1.0
00:02:48.339 119847399 30306356 575694 6829 1.0
00:02:48.539 119846755 31688039 572276 6796 1.0
00:02:48.939 119847058 30121302 581700 6832 1.0
00:02:49.139 119847550 30304245 575641 6825 1.0
00:02:49.339 119846559 30308935 575846 6823 1.0
00:02:49.539 119846745 31676026 572329 6802 1.0
00:02:49.939 119846993 30115733 581602 6833 1.0
00:02:50.139 119847526 30310319 575828 6831 1.0
00:02:50.339 119846661 30318289 575914 6842 1.0
00:02:50.539 119847458 31704425 572176 6788 1.0
00:02:50.939 119847832 30115653 581614 6830 1.0
00:02:51.139 119846730 30311604 575846 6826 1.0
00:02:51.339 119846721 30306334 575694 6826 1.0
00:02:51.539 119847477 31679325 572384 6788 1.0
00:02:51.939 119847847 30114957 581526 6838 1.0
00:02:52.139 119846788 30302774 575682 6836 1.0
00:02:52.339 119847438 30308617 575755 6835 1.0
00:02:52.539 119846729 31732373 572266 6804 1.0
00:02:52.939 119847109 30112728 581500 6820 1.0
00:02:53.139 119847156 30312200 575841 6834 1.0
00:02:53.339 119847464 30307304 575813 6829 1.0
00:02:53.539 119846853 31667056 572304 6788 1.0
00:02:53.939 119847015 30118402 581637 6824 1.0
00:02:54.139 119847526 30298958 575583 6829 1.0
00:02:54.339 119846676 30304496 575719 6821 1.0
00:02:54.539 119847470 31686984 572359 6795 1.0
00:02:54.939 119847693 30109450 581463 6844 1.0
00:02:55.139 119846785 30307103 575716 6815 1.0
00:02:55.339 119846804 30310486 575803 6814 1.0
00:02:55.539 119847549 31680057 572433 6794 1.0
00:02:55.939 119847930 30116661 581651 6831 1.0
00:02:56.139 119846836 30311260 575825 6827 1.0
00:02:56.339 119847527 30303486 575659 6812 1.0
00:02:56.539 119846793 31756875 572171 6789 1.0
00:02:56.939 119847015 30114435 581593 6839 1.0
00:02:57.139 119846739 30303717 575625 6819 1.0
00:02:57.339 119847509 30310394 575805 6825 1.0
00:02:57.539 119846620 31677942 572524 6800 1.0
00:02:57.939 119847158 30115134 581611 6835 1.0
00:02:58.139 119847430 30315809 575910 6820 1.0
00:02:58.339 119846724 30306066 575724 6825 1.0
00:02:58.539 119847493 31670758 572353 6791 1.0
00:02:58.939 119847103 30122117 581702 6838 1.0
00:02:59.139 119847464 30301350 575659 6835 1.0
00:02:59.339 119846737 30305135 575739 6828 1.0
00:02:59.539 119847457 31727786 572316 6798 1.0
00:02:59.939 119847835 30114738 581603 6831 1.0
00:03:00.139 119846630 30307956 575740 6830 1.0
00:03:00.339 119847443 30312314 575850 6824 1.0
00:03:00.539 119846751 31700604 572339 6798 1.0
00:03:00.939 119847078 30118988 581687 6834 1.0
00:03:01.139 119846712 30304842 575659 6824 1.0
00:03:01.339 119847382 30305439 575759 6815 1.0
00:03:01.539 119846622 31746592 572125 6784 1.0
00:03:01.939 119847078 30116586 581617 6848 1.0
00:03:02.139 119847527 30307587 575760 6822 1.0
00:03:02.339 119846831 30316928 575928 6824 1.0
00:03:02.539 119847425 31706788 572231 6802 1.0
