CPU_CYCLES, INSTRUCTIONS, CACHE_MISSES, BRANCH_MISSES, LABEL
13:09:49:770 119853423 30173862 584980 6841 1.0
13:09:49:970 119853523 30379405 579157 6852 1.0
13:09:50:170 119852841 30370211 579148 6847 1.0
13:09:50:370 119852873 30398152 579110 6845 1.0
13:09:50:770 119853244 30174856 585015 6847 1.0
13:09:50:970 119853605 30376346 579155 6847 1.0
13:09:51:170 119852874 30363813 579100 6835 1.0
13:09:51:370 119853447 30472281 578886 6835 1.0
13:09:51:770 119854060 30174898 584971 7483 1.0
13:09:51:970 119852677 30391081 579044 6839 1.0
13:09:52:170 119852877 30367134 579159 6841 1.0
13:09:52:370 119853570 30410798 579181 6841 1.0
13:09:52:770 119854050 30174398 584957 6851 1.0
13:09:52:970 119852684 30462816 579063 6835 1.0
13:09:53:170 119853755 30364892 579099 6834 1.0
13:09:53:370 119852832 30395000 579100 6835 1.0
13:09:53:770 119854048 30184060 585120 6869 1.0
13:09:53:970 119852770 30440144 579047 6848 1.0
13:09:54:170 119853631 30367692 579110 6835 1.0
13:09:54:370 119852662 30392672 579248 6830 1.0
13:09:54:770 119853503 30172537 584909 6861 1.0
13:09:54:970 119853516 30383355 579136 6846 1.0
13:09:55:170 119852991 30371267 579266 6832 1.0
13:09:55:370 119852806 30403434 579017 6833 1.0
13:09:55:770 119853372 30170266 584903 6861 1.0
13:09:55:970 119853466 30470282 579113 6831 1.0
13:09:56:170 119852849 30369015 579123 6838 1.0
13:09:56:370 119853764 30447905 579076 6834 1.0
13:09:56:770 119853283 30174403 584957 6838 1.0
13:09:56:970 119853687 30441137 578981 6838 1.0
13:09:57:170 119853019 30366963 579112 6839 1.0
13:09:57:370 119853568 30428184 579115 6826 1.0
13:09:57:770 119854117 30176437 585040 6836 1.0
13:09:57:970 119852927 30460357 579005 6845 1.0
13:09:58:170 119853511 30366390 579141 6836 1.0
13:09:58:370 119852845 30385275 579005 6837 1.0
13:09:58:770 119854050 30177968 585052 6851 1.0
13:09:58:970 119852665 30462587 578816 6828 1.0
13:09:59:170 119853747 30366637 579143 6845 1.0
13:09:59:370 119852599 30472394 578954 6823 1.0
13:09:59:770 119853321 30270223 582118 6822 1.0
13:09:59:970 119852836 30373632 579061 6829 1.0
13:10:00:170 119853434 30372200 579202 6841 1.0
13:10:00:570 119854113 30175820 585040 6846 1.0
13:10:00:770 119852762 30373801 579249 6831 1.0
13:10:00:970 119853712 30418707 578994 6852 1.0
13:10:01:170 119853032 30366168 579132 6840 1.0
13:10:01:570 119853107 30178747 585073 6846 1.0
13:10:01:770 119852773 30370929 579232 6834 1.0
13:10:01:970 119853404 30428826 579011 6832 1.0
13:10:02:170 119853048 30370689 579214 6843 1.0
13:10:02:570 119853332 30174010 584947 6847 1.0
13:10:02:770 119853699 30366804 579152 6840 1.0
13:10:02:970 119852752 30387538 579141 6838 1.0
13:10:03:170 119852921 30366972 579155 6830 1.0
13:10:03:570 119853391 30180129 585082 6844 1.0
13:10:03:770 119853570 30366424 579141 6829 1.0
13:10:03:970 119852842 30400861 579108 6839 1.0
13:10:04:170 119853452 30369518 579220 6838 1.0
13:10:04:570 119853993 30173633 584992 6854 1.0
