TIMESTAMP,CPU_CYCLES,INSTRUCTIONS,CACHE_MISSES,BRANCH_MISSES,LABEL
21:08:36:627,120001328,49584652,2399209,110,0
21:08:36:827,120000715,49803596,2397847,111,0
21:08:37:027,120001436,49664641,2384639,107,0
21:08:37:227,120000599,49678741,2411632,118,0
21:08:37:427,120000614,49824493,2382397,106,0
21:08:37:627,120001103,49562285,2397423,118,0
21:08:37:827,120000813,49943570,2401228,105,0
21:08:38:027,120001510,49668901,2397730,108,0
21:08:38:227,120000758,49665962,2398790,112,0
21:08:38:427,120001623,49867651,2392113,119,0
21:08:38:627,120000484,49640597,2407558,109,0
21:08:38:827,120000954,49962147,2391080,109,0
21:08:39:027,120001206,49567888,2405654,109,0
21:08:39:227,120000925,49909794,2386692,111,0
21:08:39:427,120001367,49598549,2400543,108,0
21:08:39:627,120000588,49636926,2394412,118,0
21:08:39:827,120000967,49909444,2397017,106,0
21:08:40:027,120001073,49511233,2398910,112,0
21:08:40:227,120001245,50078767,2397775,111,0
21:08:40:427,120000609,49631980,2406013,106,0
21:08:41:027,120000456,265134040,403,167,0
21:08:41:027,120000456,265134040,403,167,0
21:08:41:227,120000858,107986935,1737051,136,0
21:08:41:427,120001293,49787646,2404297,120,0
21:08:41:627,120000745,49802426,2396679,113,0
21:08:41:827,120000996,49772245,2397690,113,0
21:08:42:027,120000884,49763290,2400616,115,0
21:08:42:227,120001181,49781134,2390163,114,0
21:08:42:427,120001165,49515661,2399625,114,0
21:08:42:627,120000615,49970106,2390803,110,0
21:08:42:827,120000991,49552070,2398598,115,0
21:08:43:027,120000723,49598260,2396183,109,0
21:08:43:227,120000974,49848892,2384907,107,0
21:08:43:427,120001183,49615741,2410963,103,0
21:08:43:627,120000509,49728138,2383851,109,0
21:08:43:827,120000972,49782214,2405093,118,0
21:08:44:027,120000665,49625337,2393302,113,0
21:08:44:227,120001150,49861865,2392105,113,0
21:08:44:427,120000587,49701052,2408827,112,0
21:08:44:627,120000650,49785572,2381547,114,0
21:08:44:827,120001538,49564799,2400261,118,0
21:08:45:027,120000727,49648555,2394635,106,0
21:08:45:227,120001222,49862400,2393832,118,0
21:08:45:427,120000468,49595515,2405856,110,0
21:08:45:627,120001644,49956595,2386972,107,0
21:08:45:827,120001558,49597651,2408363,118,0
21:08:46:027,120000608,49588478,2383336,116,0
21:08:46:227,120001008,49798624,2391010,104,0
21:08:46:427,120000490,49623707,2407055,118,0
21:08:46:627,120000957,49918272,2384015,110,0
21:08:46:827,120001034,49596074,2408393,104,0
21:08:47:027,120000593,49868909,2389278,109,0
21:08:47:227,120001413,49642667,2398021,108,0
21:08:47:427,120000774,49669063,2398104,110,0
21:08:47:627,120001668,49872776,2394224,110,0
21:08:47:827,120001068,49535407,2401316,115,0
21:08:48:027,120000815,49846315,2384784,113,0
21:08:48:227,120001149,49674556,2404142,105,0
21:08:48:427,120000667,49613608,2392059,122,0
21:08:48:627,120001306,49891014,2395278,118,0
21:08:48:827,120001274,49502098,2398009,126,0
21:08:49:027,120000480,49877697,2387385,104,0
21:08:49:227,120001448,49599218,2397104,107,0
21:08:49:427,120000826,49561869,2397921,111,0
21:08:49:627,120000908,49722907,2381254,118,0
21:08:49:827,120001097,49638750,2397570,111,0
21:08:50:027,120000524,49814355,2401697,108,0
21:08:50:227,120001729,49742597,2391838,116,0
21:08:50:427,120001393,49518764,2399937,112,0
21:08:50:627,120000765,49850317,2387891,111,0
21:08:50:827,120001112,49694188,2404780,114,0
21:08:51:027,120000578,49787740,2394891,122,0
21:08:51:227,120001275,49701980,2391292,116,0
21:08:51:427,120001528,49516388,2400006,104,0
21:08:51:627,120001180,50035900,2393125,117,0
21:08:51:827,120001102,49597084,2409155,112,0
21:08:52:027,120000695,49811742,2385125,109,0
21:08:52:227,120001237,49665297,2398206,110,0
21:08:52:427,120000613,49689082,2399245,112,0
21:08:52:627,120001217,49774464,2383885,114,0
21:08:52:827,120001098,49586196,2407481,112,0
21:08:53:027,120000703,49714145,2386632,112,0
21:08:53:227,120001301,49802816,2401524,115,0
21:08:53:427,120000905,49716655,2397372,110,0
21:08:53:627,120001266,49839334,2395916,114,0
21:08:53:827,120000842,49614829,2402320,109,0
21:08:54:027,120001183,49940321,2390355,115,0
21:08:54:227,120001351,49517117,2399569,115,0
21:08:54:427,120000682,49684170,2389246,107,0
21:08:54:627,120001235,49758453,2391448,113,0
21:08:54:827,120001271,49554845,2403948,109,0
21:08:55:027,120000988,49909418,2385181,107,0
21:08:55:227,120000916,49625844,2406199,118,0
21:08:55:427,120000729,49754119,2392653,116,0
21:08:55:627,120001161,49762604,2397249,117,0
21:08:55:827,120000805,49678618,2401111,126,0
21:08:56:427,120000447,265134048,403,162,0
21:08:56:427,120000447,265134048,403,162,0
21:08:56:627,120000868,148548826,1290765,136,0
21:08:56:827,120001186,49818808,2393918,117,0
21:08:57:027,120001159,49509037,2398725,115,0
21:08:57:227,120000746,49882827,2388391,110,0
21:08:57:427,120001298,49662783,2404096,125,0
21:08:57:627,120000893,49547246,2391001,115,0
21:08:57:827,120001428,49959637,2396281,103,0
21:08:58:027,120000683,49768211,2405785,118,0
21:08:58:227,120001223,49751294,2383853,113,0
21:08:58:427,120001278,49549662,2402699,111,0
21:08:58:627,120000815,49657788,2390244,107,0
21:08:58:827,120001297,49789407,2390849,116,0
21:08:59:027,120001092,49584942,2406532,107,0
